"Table A.1.1.1 Mainline, no wind, AW0, 40kmph KE",,,,,,
,,,,,,
NO.,,CE,,L Side KE,,R Side KE
,Y0,Z0,Y1,Z1,Y2,Z2
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
,,,,,,
"Figure A.1.4.1 Mainline,no wind,AW0,70kmph Results",,,,,,
,,,,,,
44,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
"A.1.5  Mainline, no wind,AW0,80kmph Results",,,,,,
,,,,,,
"Table A.1.5.1 Mainline, no wind,AW0,80kmph KE",,,,,,
,,,,,,
NO.,,CE,,L Side KE,,R Side KE
,Y0,Z0,Y1,Z1,Y2,Z2
1,0,3850,60,3847.2,45.9,3858.4
2,50.9,3850,110.9,3846.9,96.8,3857.9
3,60.4,3800,120.2,3796.9,105.9,3807.8
4,284.5,3780.7,344.2,3776.5,329.8,3786.5
5,562.6,3718,622,3712.4,607.4,3721.3
6,924.4,3593.2,983.2,3585.9,968.1,3593.2
7,1211.6,3463.9,1269.8,3455.1,1254.1,3461.3
8,1392,3357.1,1449.7,3347.5,1433.8,3354.4
9,1483,3228.1,1540.1,3218,1523.9,3224.8
10,1524,2082.3,1576.3,2072,1560.5,2087
10',1524,2082.3,1576.3,2022.3,1560.5,2037.2
11,1524,1742.7,1575,1682.7,1559.8,1697.6
12,1504.5,1618.7,1555,1558.7,1540,1573.7
13,1413,1236.9,1463.4,1237.4,1448.4,1235.5
14,1448,1236.9,1492.5,1250.3,1479.1,1229.2
15,1448,1207.9,1492.4,1148.4,1479.2,1169.5
16,1435.9,1205.3,1480.3,1145.8,1467.2,1166.9
17,1372.5,930.9,1423.2,884.5,1409.1,886.2
18,1372.5,430.6,1423.8,384.2,1411.1,385.9
19,0,430.6,51.3,383.8,38.6,381.7
,,,,,,
45,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
,,,,,,
"Figure A.1.5.1 Mainline,no wind,AW0,80kmph Results",,,,,,
,,,,,,
46,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
"A.1.6  Mainline, no wind,AW0,90kmph Results",,,,,,
,,,,,,
"Table A.1.6.1 Mainline, no wind,AW0,90kmph KE",,,,,,
,,,,,,
NO.,,CE,,L Side KE,,R Side KE
,Y0,Z0,Y1,Z1,Y2,Z2
1,0,3850,58.9,3847.2,41.2,3857.4
2,50.9,3850,109.8,3847,92.1,3857
3,60.4,3800,119.1,3797,101.3,3807
4,284.5,3780.7,343.2,3776.7,325.2,3786.2
5,562.6,3718,621,3712.9,602.9,3721.6
6,924.4,3593.2,982.3,3586.5,963.9,3594.4
7,1211.6,3463.9,1269,3456,1250.5,3468.5
8,1392,3357.1,1449,3348.5,1430.6,3361.1
9,1483,3228.1,1539.5,3219.1,1521.2,3231.8
10,1524,2082.3,1578.5,2084.8,1559.3,2085.9
10',1524,2082.3,1578.5,2035,1559.3,2036.1
11,1524,1742.7,1578.5,1695.4,1559.9,1697.1
12,1504.5,1618.7,1559,1571.4,1540.7,1573
13,1413,1236.9,1467.7,1238.1,1450.4,1236.8
14,1448,1236.9,1495.9,1237.7,1480.9,1236.4
15,1448,1207.9,1495.9,1161,1481,1162.3
16,1435.9,1205.3,1483.8,1158.4,1468.9,1159.7
17,1372.5,930.9,1427.5,883.7,1411,885
18,1372.5,430.6,1427.9,383.4,1413.3,392.4
19,0,430.6,55.4,383.3,40.8,385.4
,,,,,,
47,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
,,,,,,
"Figure A.1.6.1 Mainline,no wind,AW0,90kmph Results",,,,,,
,,,,,,
48,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
"A.1.7  Mainline, no wind,AW0,100kmph Results",,,,,,
,,,,,,
"Table A.1.7.1 Mainline, no wind,AW0,100kmph KE",,,,,,
,,,,,,
NO.,,CE,,L Side KE,,R Side KE
,Y0,Z0,Y1,Z1,Y2,Z2
1,0,3850,61.7,3854.6,39.7,3857.4
2,50.9,3850,112.6,3854.5,90.6,3857
3,60.4,3800,122,3804.5,99.8,3806.9
4,284.5,3780.7,346.1,3784.6,323.7,3785.9
5,562.6,3718,624,3721.2,601.4,3721
6,924.4,3593.2,985.6,3595.5,962.3,3595.3
7,1211.6,3463.9,1272.5,3465.5,1248.8,3464.4
8,1392,3357.1,1452.7,3358.2,1428.7,3358.8
9,1483,3228.1,1543.4,3229,1519.4,3229.6
10,1524,2082.3,1582.3,2083.1,1559.6,2094.3
10',1524,2082.3,1582.3,2033.4,1559.6,2044.5
11,1524,1742.7,1582.1,1694.6,1560.9,1704.9
12,1504.5,1618.7,1562.6,1570.6,1541.9,1580.9
13,1413,1236.9,1471.2,1238.9,1452.1,1229.1
14,1448,1236.9,1499.2,1238.6,1481.2,1229
15,1448,1207.9,1499.2,1160.1,1481.3,1169.7
16,1435.9,1205.3,1487.1,1157.5,1469.2,1167.1
17,1372.5,930.9,1430.9,882.9,1413.1,892.6
18,1372.5,430.6,1431.3,382.6,1415.6,392.3
19,0,430.6,58.8,382.6,43.1,386.7
,,,,,,
49,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
,,,,,,
"Figure A.1.7.1 Mainline,no wind,AW0,100kmph Results",,,,,,
,,,,,,
50,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
